day,TECH-A,TECH-B,TECH-C,FIN-A,FIN-B,CONS-A,CONS-B,CONS-C
0,0.012404149082402036,0.02066720244366277,-0.00045296136496249945,-0.0013976961379439158,0.003211007820775722,0.007830800260208805,0.004602588389875089,0.004577285779952832
1,-0.03301650930587769,-0.058210849042729586,-0.0206450842528498,0.014643105537251015,-0.012266585268560944,-0.010294290781583244,-0.011020018991530987,-0.029318340169244363
2,0.00666760427521298,-0.020080835232791583,-0.02030779134221069,0.009738466804265239,0.0008718334474697624,0.023447137997976777,0.0003471390680404446,0.027959602473622454
3,-0.00811258960261287,0.037025607669289716,0.024543487097029474,0.020169519102346375,-0.0005257705452397761,0.0021197247879460035,0.006152230414518706,0.013925682719782163
4,-0.04638354456903205,0.002461759691780672,-0.008080560123186462,-0.024293320145914406,-0.025833696177108602,-0.0020717428492849008,-0.015596951266982016,-0.003656305850490243
5,0.003992407078335114,-0.01926670863655483,0.003975879353202164,-0.009284616730657344,0.012709614240179848,-0.01282975120505662,-0.023242615452802696,-0.009037361700751138
6,-0.0017013163704746362,-0.004262359034475437,-0.026554356912069265,0.008296325701924971,0.0007249592059503504,0.009357087891253748,-0.0025527507658553742,-0.015116413714102217
7,-0.012872956110678289,-0.018962909434935796,-0.03152975726140402,-0.011767785370872332,-0.009041503972439795,-0.004811323882494839,0.003618295378194249,0.00654439565879475
8,-0.0342064342539145,0.018696898998905434,0.00018567194859710721,-0.014224074296890831,-0.010810179676713265,0.0027835942792346436,0.015944739900230622,-0.004497239100832124
9,-0.0325200916495538,-0.04152938305013809,-0.029193509196049638,-0.009352831570437807,-0.009778864524067364,-0.027161117426577744,-0.006220126134826971,-0.006051070265358417
10,0.03038978726738499,0.002798742255076157,-0.030600264086819783,0.016663733768619182,0.0029099115606062613,0.01214024320184058,-0.020331739138669216,0.004916612979828185
11,0.018677144682837266,0.03447914364170265,0.027769595366691047,0.011896464092597077,0.009359047861967021,0.006098144297894494,0.012201305959728109,0.0068035330690860985
12,0.0006158773663891433,-0.006748700364842324,0.0017204341117166145,0.022182693101088072,0.0006112746603614003,-0.010359129306221562,-0.009291930846044474,-0.010835980816550803
13,0.02641778871394731,0.03743915506888323,0.011155247596697776,0.030341903570473533,0.0010016166305883076,0.017452234153777453,0.020983270972615386,0.02240192397570462
14,0.005831979181799032,-0.00418872450473802,0.032443499639570966,0.010296685908577694,0.010238514520627025,0.013981187312688534,0.010735890779710754,-0.00293220866627668
15,-0.012469307405615113,-0.011693901022251088,-0.018074182854384516,-0.010689460344004701,-0.001081240877237993,-0.00851742119720367,-0.0031737887631340424,0.020346938221407034
16,0.006251438184198925,-0.04024255953344952,-0.021843574382318265,0.02002376445145026,0.021558104339494937,0.003749319585466384,0.0036711022315803516,0.026169033119809074
17,-0.0061036816122336714,-0.019424772161497038,0.0030349386883253247,-7.200463094812239e-06,-0.0030190658687498156,-0.014120172103513632,-0.0021285570963472424,0.01344552735005817
18,0.0032389368246449543,0.03142427341175421,0.04314708192751712,0.00020150423115603867,0.016905497870663123,0.03700924162451046,0.0227863692194402,0.01963760229810771
19,-0.004330391234874058,0.004160939910379401,0.02897122574924028,-0.00254529728712956,0.016402882623926435,0.01401560837327787,0.001041321516828787,-0.00035326044528738226
20,0.013649740165435182,0.004754011634341859,0.014241798516208836,0.0074670496762802695,-0.00895396468426167,-0.002075442673583809,0.007452422288790745,0.0072568608582492655
21,-0.02631781522025654,-0.028429618399763955,-0.007455780388075023,-0.01532249377910043,-0.021989354352909433,0.010508121795665248,0.007247617531089286,-0.0046194870135417305
22,0.0481607189167276,0.03237619500087019,0.04412546423698917,0.012933174883439261,0.0014979094610149037,-0.011590767686071259,0.018262141740963092,-0.005926681958372005
23,-0.0011218510593148795,-0.003606369729740019,-0.025993756862970042,0.014857839462204288,-0.009771446314297003,-0.036650291996646794,-0.024651669832758176,0.010223362313040055
24,0.020362707420961676,0.0205568445202427,0.01400100646873859,0.00906542097574994,0.009434448261940193,-0.007957701923411296,0.00959894770375583,0.008180470266304543
25,0.004660643492788583,-0.059687005571929616,-0.026339473979667183,0.009225379378128602,-0.0018150825771898593,-0.01914306675913272,-0.00721408840345905,-0.0029353057580339148
26,0.016636282076408652,-0.013553749081531894,0.005094945032874749,-0.011563409933547826,0.010281647992078853,0.010405042363192927,0.019529614441992756,-0.002608564542974881
