day,XLK,XLF,XLE,XLV,XLP,XLY,XLI,XLU
0,0.0027121871633466466,-0.002997550161655038,0.002111118596300976,-0.004837271847193403,-0.002156765628089752,0.007877941534473631,0.004639139561572803,-0.005659481382198739
1,0.003091118894665179,0.01353348793360909,-0.004774903405222686,0.002859484409391655,-0.0006174030882895032,0.008321049781420564,0.00028875049130183683,0.00199224999198222
2,0.00038507747349880717,-0.00593486987259173,-0.00592765460081579,0.0017106470027041798,-0.006487771019359934,0.0015000946229146717,-0.0020196681501466474,-0.005396322965154576
3,-0.0015401593293897786,0.005223673489273661,0.004826957601455906,0.0017081385466606314,0.001554980324101729,-0.001497847709619582,0.007516304087901382,0.001427623662934474
4,0.0034708589879803853,0.01781794722345431,0.008901090180942761,0.007388441627375064,0.0034149529213649554,0.006501237090287937,0.014346986237591342,0.0014261138279978436
5,0.0030745759500170333,0.011670164645315673,-0.013443992890021628,0.0008464278025996919,-0.004331441223290766,0.001490741302038856,0.003112167841666569,-0.004556243449891806
6,0.0049808278357341695,0.0036048846687650737,-0.009368106352808492,0.0031002398625277205,-0.00031088931413292276,0.0029768208300928745,0.008742178408900791,-0.0014300740685435631
7,-0.005718369513147636,-0.007183872306390282,-0.005014937296160538,-0.0044955952824538015,-0.0009324379455960541,-0.001236456180936707,-0.007827702893147936,-0.0005727256957944737
8,0.004600988242976056,-0.00795935083272803,0.007056353458047893,0.006209298576253186,0.0037334930547139322,0.0027238168954384356,0.005071625502412136,-0.0008597128675199572
9,0.01450407612270066,0.015317118911692518,0.016445035261654084,0.005610019814349165,0.002169964599135543,0.016053565127196023,0.00897141454575534,-0.00028708180333880673
10,0.007147795884493879,0.009338661424924455,0.004079761433149587,0.0,0.0018558191201634155,0.008750289829095426,0.010558469665556292,-0.008321418822219484
11,0.0011207070495975469,0.006406294427464099,0.000140298223614721,0.0,0.0003086154589400092,-0.00819251230197271,-0.005774198315374068,0.0014467144468057747
12,0.0033581859554752125,0.003536049658957152,0.007985303179203429,-0.0044629245115211935,-0.0009257328517606744,-0.0007293296248850334,-0.00110635903346612,0.004045250231373254
