day,TECH-A,TECH-B,TECH-C,FIN-A,FIN-B,CONS-A,CONS-B,CONS-C
0,-0.022578426459976892,0.031684699366614305,0.0011740901165373332,0.007870352407696266,0.003932549236428751,0.006511627559484622,0.008971489492360379,0.015537664720654966
1,-0.025040488863413177,-0.042261752298022634,-0.04203513076594288,-0.008114460284196663,-0.011911241585440213,-0.008756967753447965,-0.006951394583115945,-0.01641752236283266
2,0.047409648750044456,0.02177480539148659,0.02084817669196947,-0.011983244620504778,0.02883397789225469,0.018063727790501,0.003870753054084566,0.023303854583771606
3,-0.0036070010624589307,0.006882809013250375,0.01572978094520816,0.008270429682386012,0.003927564006614554,-0.010762449162956204,0.006987187012231923,-0.0005422733037006001
4,-0.0571706120643895,-0.04762089656566265,-0.05690177502414985,-0.021074693922676472,-0.007953962856854692,-0.0168103406818921,-0.0017006916302439758,0.0009836673497273102
5,-0.032422685929548736,0.001695274599240636,-0.01214329352186089,-0.02961482613160094,0.0017187748075705028,-0.010181153961115108,-0.0076248164174053884,-0.014405503618309994
6,0.03759760498884051,0.015204859107159695,-0.004227801235230415,-0.0038119363169786605,0.005851382047649194,0.004706560218511751,0.004845102397945139,-0.014670611875130912
7,-0.015375932695857686,-0.03461332349267134,-0.018869726458985086,0.003053484337416371,-0.007513209102844743,-0.007996227357151069,0.0002180887192330971,-0.01592651642586115
8,-0.030542885306592684,-0.0160807816441527,0.006058231475409021,0.005255882014139604,-0.006875845535807874,0.019442140761363573,0.002855292056860932,0.000500497536849717
9,-0.015386541834594177,0.0033765080157345593,-0.00696564550397529,-0.021162194761853742,0.0033266501599198035,-0.006105860780140646,-0.015325378868062027,-0.002093830205961109
10,-0.005707008818715213,0.016370340908062785,0.02261640969755973,-0.005422773747334125,0.013801967239167465,0.013949584606888787,0.019445184969099975,0.011041196580595672
11,0.010669856387518219,-0.000326956556039832,0.025466079142458367,0.005080601858907548,0.015559215117841967,0.01270341181413823,0.01149171505312375,0.0056466969921108185
12,0.01774729985047841,-0.0007946881252644221,0.026492498788731306,0.0005580784292029285,0.011346382077293757,0.010721241822395979,-0.02137394989760413,0.013098527119294037
13,-0.0009663309476263763,0.005154464033303536,-0.011001175287697056,0.013698961510513943,0.03819883415972168,0.01395006204857176,0.0005653187020982688,0.009599729604685931
14,0.02173032268259427,0.0204965837006535,0.02603317449089377,6.025292698585635e-07,0.013083081273787869,-0.01793705338596236,-0.0020694714433850594,0.0064682805854941895
15,-0.008615991731560156,-0.010634484676071948,0.012892078112587057,-0.013783488754821924,-0.01832472551258745,0.010036592993033982,-0.005214753730829717,0.028491518033183214
16,0.022298688264099382,0.028228309559319285,0.024944374262360573,0.003959566408962623,0.004010476371728724,0.0014248499445857206,0.013185892657822948,0.0007782352434601425
17,-0.021775731488598227,-0.02525991367193151,-0.015636362639030676,0.001535553052034004,0.006252344842855868,-0.006919364967729154,0.0218233201417036,-0.01832682808956311
18,0.06835182679271867,0.014533968281306535,-0.001368322476794916,0.017203200044778537,0.011420407643834639,0.005919809201273693,-0.017699717439497137,0.013930313228624328
19,-0.009109097657733009,-0.005270064970702766,-0.014925323709904927,0.015243269187861463,0.015344990028412997,-0.019414300488279395,0.00532924711281431,0.00954917807646432
20,-0.028657033866091138,-0.002140949496650009,-0.02720105205176397,0.015414535622732243,0.0031134297987663413,-0.026689233584092205,0.0011231430273155566,0.0037531082395621555
21,-0.017336962901074223,-0.011996357231361996,-0.00016582521173102982,0.014088656972805369,0.0022980548280105376,-0.01544388993377519,-0.005857275436304328,-0.001625643925674213
22,0.0028802793318851304,0.036166789373937525,0.017426319419570693,0.02961701373687862,0.010480659384566035,0.016168563587096937,0.014706446810062123,0.023718766457428774
23,-0.03398831885261219,-0.03027943065081802,0.016216149380265048,0.008366991109740061,-0.006427059129494788,0.017795783765129074,0.003354104489313209,0.015464967046204179
24,-0.0021260243536205398,0.020329719251737884,-0.014187661587622762,-0.011917452520063964,0.003968422054611674,-0.0001182095427682715,-0.007458679101946428,-0.0038311266417993053
25,-0.03367654974081816,0.0014705722664973297,-0.0011961626786197654,0.00199961044179788,-0.020206862769262667,-0.017537377536550026,-0.004141281456683326,-0.009848270004198544
26,-0.011727091258147684,-0.004740550974430102,-0.013700546689163554,0.021610893474564095,0.003909626841330682,-0.005624220279458551,0.009365624536072554,0.008037691312153608
27,-0.008620797304787368,0.034750237322823195,0.0018650946346267534,0.014922756802062193,-0.012515567111625544,0.028409510783707077,0.01538176580386761,0.002999433925047577
28,-0.007480117885329375,0.012612399528776373,0.009756709709598552,-0.009387882565074883,-0.004745292747767434,-0.018997246200967762,-0.0007613711550776671,0.007431200947737882
29,0.030987139058052945,0.005628156869603565,0.020287529168431975,0.01977119354730212,0.004806050633029971,0.03150220392904342,-0.001064392242051588,0.009660102523522906
30,0.0654790511872917,0.030282494928699027,0.020671555331371806,0.01729993259179429,0.025097764598458524,0.03503944520746785,0.0422066814466955,0.038414354034209335
31,-0.02388578006201232,0.025379410360526457,0.0007704310571082862,0.021416743341237603,0.012387996725027144,0.021808779955778356,0.0004214127377325555,0.012049174243495839
32,0.012633154916109758,-0.0010726148843967984,0.02000251606205944,-0.019482772894694793,0.002541120805684021,-0.0015585718637203339,0.0028358211852715738,-0.015241089977425515
33,-0.02527281901717797,0.022516520909676006,-0.001719206052140142,-0.0178111550093287,-0.020563187637944097,-0.019874940925710564,-0.019494384211800747,-0.016857249242185224
34,0.007058780692836298,0.0257904599378226,0.004370266887845465,-0.014107073324515072,0.004861073114993349,0.011758358162577458,0.008521407805658531,-0.01266352697761343
35,0.00355794204099286,0.007068867746828084,0.025700609284829423,0.0069977946025712445,-0.00854537840568125,0.019772040471661874,0.009769056626382614,-0.013361272131836585
36,0.019167538230097033,-0.010972507236103457,0.006197054895671079,0.023908349269676464,-0.0017043785345122436,-0.017347074341377174,-0.029392443703321565,-0.005324938361140407
37,-0.017622351740041037,-0.0119202923074101,-0.01467974052038141,-0.012870378103582878,-0.004419750590827883,-0.01694523087956707,-0.011474348589020167,-0.01501728844200559
38,0.040255305579906434,-0.03198411375525381,0.0020518395292291455,-0.008235693387628338,0.0020469660690806985,-0.004496112636277829,-0.009408677903138204,0.015222284658381859
39,0.009870726679989191,-0.005100700018503657,0.006313414136443096,0.016265891679652512,0.014939621773196542,0.00315059428343727,0.004071891969070079,0.021617991424903477
40,-0.017816476473119985,-0.004463780843992213,0.015838409473110406,0.006995695682685043,0.020764854046335757,0.02339197262112924,-0.004422227467097691,0.004625349196131185
41,-0.0051071753957398726,-0.01643217781806621,-0.015279761347866575,0.0031075112139764246,0.0017841361640944802,-0.0020108912822233826,0.005101186308331017,0.0016177249504038104
42,-0.020678864700196833,0.0059118790072032225,0.013797973800777536,0.0017146118261919903,-0.0036213079895946933,0.0010407983270899666,0.014935957393499247,0.014535894551702979
43,0.016363625319940463,-0.002307767820803908,0.0010038046995987685,-0.0069790340541229755,0.011475034452466764,0.02125637949908076,0.009456973652534171,0.024623451528044276
44,-0.01898101438248056,-0.001369689184747001,-0.00032729554151988624,-0.0020568012177382762,0.008574289361567638,0.021473698844252008,-0.007871914745211553,-0.004361111476615698
45,-0.005873935481319179,0.010477498129415718,0.005278098307671949,0.013521219886526221,0.0005480536748009111,0.000820881109210365,-0.01287224306568198,-0.01110726180045125
46,-0.00852917481532035,0.006977600391843823,-0.013994062978083205,0.01793701750718882,0.011289575592380823,0.013604492510153162,0.0036564355175562786,0.004817856849465953
47,0.008602272712106071,-0.0026605223112708266,-0.029857646582400445,0.011658273853682892,-0.005143472096961542,-0.008041129499287807,-0.012092922686833575,0.007996450028220473
48,0.016838710799941533,-0.016553495940035676,0.005298672765188545,0.018046651921672454,-0.0057595048383806725,0.011090940847039299,0.002373441803744016,-0.0047846978212643
49,0.04898545088844091,0.022921693504898928,0.04755150261971286,0.004629412273481548,0.005697756861070551,0.018046235589132237,0.01722214496168193,0.007126084567456226
50,0.01791454538351689,0.00608138286528641,-0.018595759492295482,0.010803225495880791,-0.010034647678441675,-0.009991166325948396,0.004268505886689179,0.02917937528170394
51,0.013225735588989526,-0.005723012790900466,-0.0035240596178438797,-0.0021003003752963533,0.00774162740112065,0.02982910606109541,0.008299275441861228,-0.006716823854643604
52,-0.0177848763438313,-0.033596869610912225,-0.015210645444191737,-0.01573431820499736,-0.02198815427523943,-0.015029550753331646,-0.01096380056633683,-0.010276170279410541
53,-0.023440237556714132,0.00622445935400142,-0.003977436048107191,-0.006467767173998936,-0.01132348873401711,0.00533120186270589,-0.008717056602738688,-0.015029691161432258
54,-0.03248966101946128,0.009276205194184775,0.011928552094496364,-0.024836274768095058,-0.014028193876430402,-0.0033056998658188,-0.001833503989835447,-0.011424280072625602
55,-0.0018465834356026153,-0.012810500492541038,-0.010283696592903242,-0.004297501699785477,0.0045312169225058705,-0.004568640663419135,-0.010927079786180776,-0.005905516687099343
56,-0.008732304775525303,0.018633500735644327,-0.002488985616960567,0.014644879882897914,-0.0013065293039520266,-0.008076537636139379,-0.013922792456245732,-0.011094140549954778
57,0.044555627274986874,0.024348613843454943,0.031802126824637525,0.010032792991415136,0.006247123796949115,-0.0021997136837997797,-0.009214538921690826,0.014209527861842174
58,-0.018001661499940362,-0.03359016847182528,-0.05270440253483413,-0.004363444701728866,-0.003992302295204118,0.004116365512405635,-0.001549755550909683,-0.0004962389391446312
59,0.007344363669326084,-0.002054417986430979,-0.01549738206634711,0.008192249952937509,0.01262317883100296,0.011350237292052257,0.024531489079232485,0.015058323420160663
60,-0.013147689594287335,-0.0031759045154197522,-0.010745599677751905,-0.023881860441452046,-0.0024625529817651187,-0.034717112040144056,-0.009142817771373737,-0.017972802104399832
61,0.02929993417859001,0.014822858025775366,0.02792777105334412,0.0184564639190165,-0.013290120464365854,-0.011063996266376415,0.017325368558443858,-0.0010647032575150134
62,0.018212363730279908,0.008114916247382356,0.03163067593441021,-0.010028856219326268,0.003589995592789725,-0.014105379190139086,-0.006322974929665499,-0.001858119488724171
63,-0.0004699499219742685,0.030789195688961192,0.01170343426789983,-0.006973890327091947,0.031856569367420484,0.0007125406772268521,0.015379719243848122,0.003618533834923656
